TOP;1.0
Spades;3.13.0
Bowtie2;2.2.5
Samtools;1.3.1
mlst;2.23.0
Kraken2;2.1.2
Trimmomatic;0.39
TrimmomaticAdapters;Kapa-PE.fa
R;4.1.1
Abricate;1.0.1
AbricateDB;2023-Feb-23
NGStar;leosanbu/pyngSTar-2024-Jan-01
NGStarDB;2024-Jan-02
Hicap;1.0.3
Seroba;1.0.2
Virulencefinder;1.0.1
VirulencefinderDB;2023-Jan-26
emmtyper;0.2.0
emmtyperDB;2024-Feb-07
menigotype;0.8.5
ngmaster;0.5.8
seqsero;1.2.1
tartrate;garcia-nacho/tartrate-2024-Jan-01
tbpipeline;1.0
JonsEcoliPipeline;1.0
Nextflow;23.10.1
